"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AS,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,10/01/2020,09/30/2021
AS,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,10/01/2020,09/30/2021
AS,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,10/01/2020,09/30/2021
AS,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_5_SIR,MRSA Bacteremia,Not Available,5,10/01/2020,09/30/2021
AS,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_6_SIR,Clostridium Difficile (C.Diff),Not Available,5,10/01/2020,09/30/2021
AZ,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.945,,10/01/2020,09/30/2021
AZ,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.139,,10/01/2020,09/30/2021
AZ,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.039,,10/01/2020,09/30/2021
AZ,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.594,,10/01/2020,09/30/2021
AZ,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.733,,10/01/2020,09/30/2021
AZ,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.661,,10/01/2020,09/30/2021
AZ,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.722,,10/01/2020,09/30/2021
AZ,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.986,,10/01/2020,09/30/2021
AZ,HAI_3_SIR,SSI - Colon Surgery,0.847,,10/01/2020,09/30/2021
AZ,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.795,,10/01/2020,09/30/2021
AZ,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.370,,10/01/2020,09/30/2021
AZ,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.053,,10/01/2020,09/30/2021
AZ,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.799,,10/01/2020,09/30/2021
AZ,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.055,,10/01/2020,09/30/2021
AZ,HAI_5_SIR,MRSA Bacteremia,0.920,,10/01/2020,09/30/2021
AZ,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.523,,10/01/2020,09/30/2021
AZ,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.592,,10/01/2020,09/30/2021
AZ,HAI_6_SIR,Clostridium Difficile (C.Diff),0.557,,10/01/2020,09/30/2021
CA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.987,,10/01/2020,09/30/2021
CA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.079,,10/01/2020,09/30/2021
CA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.032,,10/01/2020,09/30/2021
CA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.906,,10/01/2020,09/30/2021
CA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.988,,10/01/2020,09/30/2021
CA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.946,,10/01/2020,09/30/2021
CA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.745,,10/01/2020,09/30/2021
CA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.870,,10/01/2020,09/30/2021
CA,HAI_3_SIR,SSI - Colon Surgery,0.805,,10/01/2020,09/30/2021
CA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.660,,10/01/2020,09/30/2021
CA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.931,,10/01/2020,09/30/2021
CA,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.787,,10/01/2020,09/30/2021
CA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.974,,10/01/2020,09/30/2021
CA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.112,,10/01/2020,09/30/2021
CA,HAI_5_SIR,MRSA Bacteremia,1.042,,10/01/2020,09/30/2021
CA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.534,,10/01/2020,09/30/2021
CA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.567,,10/01/2020,09/30/2021
CA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.550,,10/01/2020,09/30/2021
CO,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.665,,10/01/2020,09/30/2021
CO,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.875,,10/01/2020,09/30/2021
CO,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.764,,10/01/2020,09/30/2021
CO,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.577,,10/01/2020,09/30/2021
CO,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.754,,10/01/2020,09/30/2021
CO,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.661,,10/01/2020,09/30/2021
CO,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.769,,10/01/2020,09/30/2021
CO,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.081,,10/01/2020,09/30/2021
CO,HAI_3_SIR,SSI - Colon Surgery,0.915,,10/01/2020,09/30/2021
CO,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,1.062,,10/01/2020,09/30/2021
CO,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.795,,10/01/2020,09/30/2021
CO,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.392,,10/01/2020,09/30/2021
CO,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.605,,10/01/2020,09/30/2021
CO,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.908,,10/01/2020,09/30/2021
CO,HAI_5_SIR,MRSA Bacteremia,0.745,,10/01/2020,09/30/2021
CO,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.472,,10/01/2020,09/30/2021
CO,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.555,,10/01/2020,09/30/2021
CO,HAI_6_SIR,Clostridium Difficile (C.Diff),0.512,,10/01/2020,09/30/2021
CT,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.874,,10/01/2020,09/30/2021
CT,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.154,,10/01/2020,09/30/2021
CT,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.007,,10/01/2020,09/30/2021
CT,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.468,,10/01/2020,09/30/2021
CT,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.661,,10/01/2020,09/30/2021
CT,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.558,,10/01/2020,09/30/2021
CT,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.772,,10/01/2020,09/30/2021
CT,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.165,,10/01/2020,09/30/2021
CT,HAI_3_SIR,SSI - Colon Surgery,0.954,,10/01/2020,09/30/2021
CT,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.842,,10/01/2020,09/30/2021
CT,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.750,,10/01/2020,09/30/2021
CT,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.234,,10/01/2020,09/30/2021
CT,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.736,,10/01/2020,09/30/2021
CT,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.115,,10/01/2020,09/30/2021
CT,HAI_5_SIR,MRSA Bacteremia,0.911,,10/01/2020,09/30/2021
CT,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.524,,10/01/2020,09/30/2021
CT,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.622,,10/01/2020,09/30/2021
CT,HAI_6_SIR,Clostridium Difficile (C.Diff),0.571,,10/01/2020,09/30/2021
DC,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.718,,10/01/2020,09/30/2021
DC,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.091,,10/01/2020,09/30/2021
DC,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.890,,10/01/2020,09/30/2021
DC,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.388,,10/01/2020,09/30/2021
DC,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.655,,10/01/2020,09/30/2021
DC,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.508,,10/01/2020,09/30/2021
DC,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.618,,10/01/2020,09/30/2021
DC,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.318,,10/01/2020,09/30/2021
DC,HAI_3_SIR,SSI - Colon Surgery,0.918,,10/01/2020,09/30/2021
DC,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.193,,10/01/2020,09/30/2021
DC,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.462,,10/01/2020,09/30/2021
DC,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.606,,10/01/2020,09/30/2021
DC,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.797,,10/01/2020,09/30/2021
DC,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.361,,10/01/2020,09/30/2021
DC,HAI_5_SIR,MRSA Bacteremia,1.051,,10/01/2020,09/30/2021
DC,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.495,,10/01/2020,09/30/2021
DC,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.648,,10/01/2020,09/30/2021
DC,HAI_6_SIR,Clostridium Difficile (C.Diff),0.567,,10/01/2020,09/30/2021
DE,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.389,,10/01/2020,09/30/2021
DE,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.780,,10/01/2020,09/30/2021
DE,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.559,,10/01/2020,09/30/2021
DE,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.483,,10/01/2020,09/30/2021
DE,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.930,,10/01/2020,09/30/2021
DE,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.679,,10/01/2020,09/30/2021
DE,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.541,,10/01/2020,09/30/2021
DE,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.208,,10/01/2020,09/30/2021
DE,HAI_3_SIR,SSI - Colon Surgery,0.825,,10/01/2020,09/30/2021
DE,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
DE,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.632,,10/01/2020,09/30/2021
DE,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.000,,10/01/2020,09/30/2021
DE,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.369,,10/01/2020,09/30/2021
DE,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.812,,10/01/2020,09/30/2021
DE,HAI_5_SIR,MRSA Bacteremia,0.559,,10/01/2020,09/30/2021
DE,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.407,,10/01/2020,09/30/2021
DE,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.575,,10/01/2020,09/30/2021
DE,HAI_6_SIR,Clostridium Difficile (C.Diff),0.486,,10/01/2020,09/30/2021
FL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.830,,10/01/2020,09/30/2021
FL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.930,,10/01/2020,09/30/2021
FL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.879,,10/01/2020,09/30/2021
FL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.615,,10/01/2020,09/30/2021
FL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.697,,10/01/2020,09/30/2021
FL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.655,,10/01/2020,09/30/2021
FL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.674,,10/01/2020,09/30/2021
FL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.805,,10/01/2020,09/30/2021
FL,HAI_3_SIR,SSI - Colon Surgery,0.737,,10/01/2020,09/30/2021
FL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.639,,10/01/2020,09/30/2021
FL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.909,,10/01/2020,09/30/2021
FL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.765,,10/01/2020,09/30/2021
FL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.146,,10/01/2020,09/30/2021
FL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.297,,10/01/2020,09/30/2021
FL,HAI_5_SIR,MRSA Bacteremia,1.220,,10/01/2020,09/30/2021
FL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.346,,10/01/2020,09/30/2021
FL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.373,,10/01/2020,09/30/2021
FL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.359,,10/01/2020,09/30/2021
GA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,1.005,,10/01/2020,09/30/2021
GA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.153,,10/01/2020,09/30/2021
GA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.077,,10/01/2020,09/30/2021
GA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.736,,10/01/2020,09/30/2021
GA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.855,,10/01/2020,09/30/2021
GA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.794,,10/01/2020,09/30/2021
GA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.754,,10/01/2020,09/30/2021
GA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.966,,10/01/2020,09/30/2021
GA,HAI_3_SIR,SSI - Colon Surgery,0.855,,10/01/2020,09/30/2021
GA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.954,,10/01/2020,09/30/2021
GA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.368,,10/01/2020,09/30/2021
GA,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.147,,10/01/2020,09/30/2021
GA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.244,,10/01/2020,09/30/2021
GA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.480,,10/01/2020,09/30/2021
GA,HAI_5_SIR,MRSA Bacteremia,1.358,,10/01/2020,09/30/2021
GA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.429,,10/01/2020,09/30/2021
GA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.480,,10/01/2020,09/30/2021
GA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.454,,10/01/2020,09/30/2021
GU,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,10/01/2020,09/30/2021
GU,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,10/01/2020,09/30/2021
GU,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,10/01/2020,09/30/2021
GU,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,10/01/2020,09/30/2021
GU,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_5_SIR,MRSA Bacteremia,Not Available,5,10/01/2020,09/30/2021
GU,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
GU,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
